W(s) = (1s3-5s2+17s-13)/(1s4-35s3-183s2-667s-52)
Время от -5 до 20 c
Количество точек: 101

Нули:
10
20 + j30
20 - j30

Полюса:
-1
-2 + j3
-2 - j3
40

              t           h(t)

             -5              0
          -4.75              0
           -4.5              0
          -4.25              0
             -4              0
          -3.75              0
           -3.5              0
          -3.25              0
             -3              0
          -2.75              0
           -2.5              0
          -2.25              0
             -2              0
          -1.75              0
           -1.5              0
          -1.25              0
             -1              0
          -0.75              0
           -0.5              0
          -0.25              0
              0   1.73472e-018
           0.25        295.406
            0.5   6.50731e+006
           0.75   1.43333e+011
              1   3.15712e+015
           1.25   6.95402e+019
            1.5   1.53173e+024
           1.75   3.37385e+028
              2    7.4314e+032
           2.25   1.63687e+037
            2.5   3.60546e+041
           2.75   7.94155e+045
              3   1.74924e+050
           3.25   3.85296e+054
            3.5   8.48671e+058
           3.75   1.86932e+063
              4   4.11746e+067
           4.25    9.0693e+071
            4.5   1.99765e+076
           4.75   4.40011e+080
              5   9.69189e+084
           5.25   2.13478e+089
            5.5   4.70217e+093
           5.75   1.03572e+098
              6   2.28133e+102
           6.25   5.02496e+106
            6.5   1.10682e+111
           6.75   2.43794e+115
              7   5.36991e+119
           7.25    1.1828e+124
            7.5   2.60529e+128
           7.75   5.73854e+132
              8     1.264e+137
           8.25   2.78414e+141
            8.5   6.13248e+145
           8.75   1.35077e+150
              9   2.97526e+154
           9.25   6.55346e+158
            9.5   1.44349e+163
           9.75   3.17951e+167
             10   7.00333e+171
          10.25   1.54259e+176
           10.5   3.39777e+180
          10.75   7.48409e+184
             11   1.64848e+189
          11.25   3.63102e+193
           11.5   7.99786e+197
          11.75   1.76165e+202
             12   3.88028e+206
          12.25   8.54689e+210
           12.5   1.88258e+215
          12.75   4.14665e+219
             13   9.13361e+223
          13.25   2.01181e+228
           13.5   4.43131e+232
          13.75   9.76061e+236
             14   2.14992e+241
          14.25   4.73551e+245
           14.5   1.04307e+250
          14.75    2.2975e+254
             15   5.06059e+258
          15.25   1.11467e+263
           15.5   2.45522e+267
          15.75   5.40799e+271
             16   1.19119e+276
          16.25   2.62377e+280
           16.5   5.77923e+284
          16.75   1.27296e+289
             17   2.80388e+293
          17.25   6.17596e+297
           17.5   1.36035e+302
          17.75   2.99636e+306
             18   6.59992e+310
          18.25   1.45373e+315
           18.5   3.20205e+319
          18.75   7.05299e+323
             19   1.55353e+328
          19.25   3.42187e+332
           19.5   7.53716e+336
          19.75   1.66017e+341
             20   3.65677e+345
